elapsed_s,fc_raw_vx,fc_raw_vy,odom_vx,odom_vy,filt_vx,filt_vy,filt_px,filt_py,tf_px,tf_py,amcl_x,amcl_y,amcl_yaw,coupling_ratio
33.67,0.2800,0.0200,0.2800,0.0200,0.2720,-0.0236,-0.4963,-0.0678,-0.4963,-0.0678,-0.3909,0.3331,-26.98,0.071429
34.18,0.2700,0.0200,0.2800,0.0200,0.3047,0.0137,-0.3479,-0.0730,-0.3479,-0.0730,-0.1722,0.1964,-23.04,0.074074
34.69,0.1300,-0.0300,0.1300,-0.0300,0.1387,0.0293,-0.2184,-0.0546,-0.2236,-0.0557,-0.0612,0.1230,-22.50,0.230769
35.19,0.0000,-0.0100,0.0000,0.0000,-0.0003,0.0004,-0.1955,-0.0503,-0.1955,-0.0503,0.0074,0.1082,-23.00,0.000000
35.69,-0.0300,-0.0100,-0.0300,0.0000,-0.0315,-0.0017,-0.2040,-0.0553,-0.2029,-0.0552,0.0274,0.1053,-20.90,0.000000
36.20,-0.0100,-0.0100,0.0000,0.0000,-0.0002,0.0000,-0.2190,-0.0555,-0.2190,-0.0555,0.0107,0.1245,-20.48,0.000000
36.70,0.0000,-0.0100,0.0000,0.0000,-0.0000,-0.0000,-0.2190,-0.0617,-0.2190,-0.0617,0.0107,0.1245,-20.48,0.000000
37.20,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.2190,-0.0617,-0.2190,-0.0617,0.0107,0.1245,-20.48,0.000000
37.71,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.2190,-0.0617,-0.2190,-0.0617,0.0107,0.1245,-20.48,0.000000
38.21,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,-0.2177,-0.0617,-0.2177,-0.0617,0.0107,0.1245,-20.48,0.000000
38.71,0.0200,0.0000,0.0200,0.0000,0.0180,0.0000,-0.2174,-0.0616,-0.2177,-0.0616,0.0107,0.1245,-20.48,0.000000
39.21,0.0200,0.0100,0.0200,0.0000,0.0000,0.0000,-0.2160,-0.0616,-0.2160,-0.0616,0.0107,0.1245,-20.48,0.000000
39.71,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,-0.2101,-0.0616,-0.2101,-0.0616,0.0107,0.1245,-20.48,0.000000
40.21,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,-0.2101,-0.0616,-0.2101,-0.0616,0.0107,0.1245,-20.48,0.000000
40.71,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,-0.2101,-0.0616,-0.2101,-0.0616,0.0107,0.1245,-20.48,0.000000
41.23,0.0000,0.0100,0.0000,0.0000,0.0000,0.0002,-0.2101,-0.0609,-0.2101,-0.0609,0.0107,0.1245,-20.48,0.000000
41.74,0.0000,0.0100,0.0000,0.0000,0.0000,0.0003,-0.2101,-0.0544,-0.2101,-0.0544,0.0107,0.1245,-20.48,0.000000
42.24,0.0000,-0.2100,0.0000,-0.1900,0.0042,0.0600,-0.2106,-0.0450,-0.2106,-0.0450,0.0107,0.1245,-20.48,0.000000
42.75,0.0000,-0.4600,0.0000,-0.4600,0.0066,-0.1574,-0.2026,-0.0570,-0.2028,-0.0543,0.0219,0.1473,-27.03,0.000000
43.25,0.0000,-0.2400,0.0000,-0.2400,0.0067,-0.4135,-0.1966,-0.2285,-0.1967,-0.2210,-0.0187,-0.0100,-25.49,0.000000
43.75,0.0100,-0.0500,0.0200,-0.0500,0.0050,-0.2913,-0.1904,-0.4039,-0.1904,-0.4039,-0.1075,-0.1288,-28.34,0.000000
44.25,0.0100,0.0000,0.0000,0.0000,0.0002,-0.0001,-0.1904,-0.4512,-0.1904,-0.4512,-0.1062,-0.1721,-27.69,0.000000
